Case,Cone_Angle,Omega_RPM,Pitch_Angle,Vz_ms,Avg_Fpx,Avg_Fpy,Avg_Fpz,Avg_Mpx,Avg_Mpy,Avg_Mpz
8_630_-3,8,630,-3,3,-0.028114873,0.021493313,0.281890327,-0.001628264,-0.019831576,0.001263685
8_630_-1,8,630,-1,3,-0.030769389,0.016673577,0.309142476,-0.001886982,-0.022198187,0.000862215
6_630_-5,6,630,-5,1,-0.00334947,-0.001226488,0.045105787,-0.000515011,-0.003157845,-0.000562824
6_630_-3,6,630,-3,1,-0.003616761,-0.001369237,0.04706107,-0.000509595,-0.003697826,-0.000546802
6_630_-1,6,630,-1,1,-0.004110883,-0.002116913,0.047750993,-0.000546371,-0.004220234,-0.000631205
6_630_-5,6,630,-5,2,-0.007916848,0.00887868,0.126883569,-0.000639468,-0.008815812,0.000319324
6_630_-3,6,630,-3,2,-0.008486807,0.008136509,0.143557997,-0.000725374,-0.010383317,0.000300649
6_630_-1,6,630,-1,2,-0.009877446,0.006285949,0.163329335,-0.000871822,-0.012203868,0.000141653
6_630_-5,6,630,-5,3,-0.017955081,0.024910495,0.252678132,-0.001243652,-0.017272563,0.001539209
6_630_-3,6,630,-3,3,-0.019187456,0.02150467,0.27669819,-0.001419698,-0.019454931,0.001293266
6_630_-1,6,630,-1,3,-0.021091524,0.017281442,0.303816225,-0.001703992,-0.0218793,0.000950388
4_630_-5,4,630,-5,1,-0.001561832,-0.001405903,0.042147947,-0.000383698,-0.002896727,-0.000572413
4_630_-5,4,630,-5,2,-0.003475162,0.008753347,0.121430262,-0.000467287,-0.008356302,0.000297621
4_630_-5,4,630,-5,3,-0.010355524,0.024803198,0.247347415,-0.001045973,-0.016889106,0.001525729
4_630_-3,4,630,-3,1,-0.001901434,-0.001304017,0.046982724,-0.000357006,-0.003547768,-0.000512995
4_630_-3,4,630,-3,2,-0.003290338,0.008157778,0.137314009,-0.000534486,-0.009861955,0.000309148
4_630_-3,4,630,-3,3,-0.01075644,0.021749007,0.270903584,-0.001204575,-0.019039578,0.001322024
4_630_-1,4,630,-1,1,-0.002289464,-0.001930067,0.04757166,-0.000370274,-0.004080902,-0.00055799
4_630_-1,4,630,-1,2,-0.00443627,0.006654387,0.157241976,-0.000663083,-0.011745823,0.00018166
4_630_-1,4,630,-1,3,-0.011575046,0.017986204,0.296202158,-0.001449315,-0.021326839,0.00103349
12_600_-5,12,600,-5,1,-0.008015484,-0.000692797,0.043146613,-0.00078113,-0.003345536,-0.000576552
12_600_-3,12,600,-3,1,-0.008378096,-0.001601661,0.043810373,-0.000817573,-0.003785882,-0.000665062
12_600_-1,12,600,-1,1,-0.009456742,-0.002543561,0.046943515,-0.000889987,-0.004365417,-0.000783141
12_600_-5,12,600,-5,2,-0.022208206,0.009161813,0.13607225,-0.001039887,-0.009627822,0.000319599
12_600_-3,12,600,-3,2,-0.024460628,0.007749275,0.152541778,-0.001173817,-0.011145037,0.000229967
12_600_-1,12,600,-1,2,-0.027694729,0.005424109,0.173574408,-0.001331293,-0.012983643,2.27E-05
12_600_-5,12,600,-5,3,-0.0447856,0.027312376,0.26966711,-0.001822621,-0.018252309,0.001519503
12_600_-3,12,600,-3,3,-0.04999832,0.025457756,0.300655557,-0.002103023,-0.020719397,0.001170251
12_600_-1,12,600,-1,3,-0.054817214,0.019913043,0.327321273,-0.002458494,-0.022929758,0.000660373
10_600_-5,10,600,-5,1,-0.006339107,-0.000762866,0.043554994,-0.000682036,-0.003274956,-0.000529025
10_600_-3,10,600,-3,1,-0.00645039,-0.001453331,0.043730989,-0.000712278,-0.003697738,-0.000588066
10_600_-1,10,600,-1,1,-0.007261682,-0.002293148,0.045661142,-0.000773854,-0.004215814,-0.000696598
10_600_-5,10,600,-5,2,-0.016997042,0.009166551,0.1320433,-0.000892085,-0.009263878,0.000358008
10_600_-3,10,600,-3,2,-0.018740899,0.008174288,0.148531241,-0.001028364,-0.010793178,0.000300388
10_600_-1,10,600,-1,2,-0.021527137,0.005576317,0.168542194,-0.001163191,-0.012609135,7.35E-05
10_600_-5,10,600,-5,3,-0.034680452,0.025756884,0.258541429,-0.001603898,-0.017613422,0.001558692
10_600_-3,10,600,-3,3,-0.039414739,0.024584359,0.29559447,-0.001913084,-0.020343265,0.00125644
10_600_-1,10,600,-1,3,-0.043335104,0.020034076,0.321389253,-0.002219252,-0.022552036,0.00076907
8_600_-5,8,600,-5,1,-0.004729186,-0.000810952,0.043794362,-0.000574368,-0.003174461,-0.000502044
8_600_-3,8,600,-3,1,-0.004788199,-0.001317895,0.043956518,-0.000595453,-0.003609784,-0.0005266
8_600_-1,8,600,-1,1,-0.005450399,-0.002018211,0.0453991,-0.000649541,-0.004126313,-0.000622352
8_600_-5,8,600,-5,2,-0.012138629,0.009259453,0.128009533,-0.000753838,-0.008919835,0.000384905
8_600_-3,8,600,-3,2,-0.01323004,0.008075373,0.144262026,-0.000855766,-0.010414458,0.0003268
8_600_-1,8,600,-1,2,-0.015299783,0.00590139,0.162920379,-0.000996042,-0.012167197,0.000120355
8_600_-5,8,600,-5,3,-0.026247775,0.025533388,0.254635435,-0.001421359,-0.017321789,0.001575842
8_600_-3,8,600,-3,3,-0.028334781,0.022039765,0.280257117,-0.001648061,-0.01949906,0.00132432
8_600_-1,8,600,-1,3,-0.032161314,0.020145489,0.315966279,-0.002001679,-0.022133659,0.000879782
6_600_-5,6,600,-5,1,-0.003258614,-0.000869152,0.043831299,-0.000467453,-0.003069141,-0.000486103
6_600_-3,6,600,-3,1,-0.003347581,-0.001128894,0.044851451,-0.000466939,-0.003537202,-0.000484608
6_600_-1,6,600,-1,1,-0.003605858,-0.001869695,0.044753541,-0.000512003,-0.003986333,-0.000565534
6_600_-5,6,600,-5,2,-0.007650295,0.009381556,0.123875794,-0.000615417,-0.008583273,0.000401447
6_600_-3,6,600,-3,2,-0.008222214,0.008502893,0.139803641,-0.000706931,-0.010081471,0.000366398
6_600_-1,6,600,-1,2,-0.009674472,0.006497723,0.158058903,-0.000844415,-0.011806041,0.000185818
6_600_-5,6,600,-5,3,-0.018289163,0.025212716,0.250812914,-0.00125692,-0.017048099,0.001584489
6_600_-3,6,600,-3,3,-0.019425474,0.021876979,0.274267712,-0.001450081,-0.019107816,0.001354914
6_600_-1,6,600,-1,3,-0.021620283,0.017934504,0.303349548,-0.001741546,-0.021493901,0.001024081
4_600_-5,4,600,-5,1,-0.001590176,-0.000951643,0.041409339,-0.00034517,-0.002844989,-0.00048928
4_600_-5,4,600,-5,2,-0.003365065,0.009277873,0.119056829,-0.000459241,-0.008180741,0.000382996
4_600_-5,4,600,-5,3,-0.010881012,0.025078071,0.24578625,-0.001068803,-0.016699691,0.001572826
4_600_-3,4,600,-3,1,-0.00176276,-0.001006297,0.04504832,-0.000325009,-0.003408418,-0.000447833
