#Case,Cone_Angle,Omega_RPM,Pitch_Angle,Vz_ms,Avg_Fpx,Avg_Fpy,Avg_Fpz,Avg_Mpx,Avg_Mpy,Avg_Mpz
5_540_-3,5,540,-3,3.5,-0.023356813,0.034512559,0.349462254,-0.002210005,-0.023069638,0.001924307
5_540_-2,5,540,-2,3.5,-0.023752908,0.031799395,0.359991299,-0.00229452,-0.023959829,0.001723065
5_540_-1,5,540,-1,3.5,-0.024503774,0.028663444,0.37015906,-0.002449148,-0.024904951,0.00150558
5_540_0,5,540,0,3.5,-0.0256096,0.024802073,0.378752668,-0.002556292,-0.02571638,0.001206657
0_510_-5,0,510,-5,3.5,-0.001721818,0.03942049,0.310983517,-0.001521449,-0.020202084,0.002440058
0_510_-4,0,510,-4,3.5,-0.001962202,0.036996081,0.324189432,-0.001691301,-0.021232385,0.00229419
0_510_-3,0,510,-3,3.5,-0.001776237,0.034049317,0.334257596,-0.001696218,-0.021986157,0.002079292
0_510_-2,0,510,-2,3.5,-0.002235144,0.030659337,0.344425176,-0.001806438,-0.023002399,0.001853756
0_510_-1,0,510,-1,3.5,-0.002334704,0.028508366,0.358166244,-0.002060846,-0.024265346,0.0016867
0_510_0,0,510,0,3.5,-0.002578451,0.025737739,0.361688614,-0.002049334,-0.024646962,0.001459071
1_510_-5,1,510,-5,3.5,-0.005766294,0.03928654,0.313993877,-0.00162302,-0.020304716,0.002377628
1_510_-4,1,510,-4,3.5,-0.00606887,0.037055995,0.327286105,-0.001784256,-0.021346839,0.002249072
1_510_-3,1,510,-3,3.5,-0.0060599,0.033405827,0.334716883,-0.001770579,-0.021925355,0.002003663
1_510_-2,1,510,-2,3.5,-0.005941868,0.030166827,0.343409946,-0.001861897,-0.022727495,0.001790655
1_510_-1,1,510,-1,3.5,-0.005648182,0.028034248,0.35428687,-0.002000071,-0.023832989,0.001614703
1_510_0,1,510,0,3.5,-0.006608102,0.025157625,0.363072624,-0.002142118,-0.024704885,0.001403659
2_510_-5,2,510,-5,3.5,-0.009864909,0.038946834,0.316443602,-0.001712187,-0.020382211,0.002323944
2_510_-4,2,510,-4,3.5,-0.010102379,0.036517446,0.327952748,-0.001834156,-0.021298479,0.00216409
2_510_-3,2,510,-3,3.5,-0.009924102,0.033369319,0.336756953,-0.001881,-0.021951813,0.00194958
2_510_-2,2,510,-2,3.5,-0.00941326,0.030881216,0.345877843,-0.002052091,-0.022804514,0.001786437
2_510_-1,2,510,-1,3.5,-0.009053486,0.027740496,0.350998928,-0.002079739,-0.023328017,0.001593777
2_510_0,2,510,0,3.5,-0.010496913,0.024732713,0.362328262,-0.002265461,-0.024521362,0.001372489
3_510_-5,3,510,-5,3.5,-0.014112514,0.038860026,0.317833344,-0.001808695,-0.020415617,0.002293769
3_510_-4,3,510,-4,3.5,-0.014416509,0.036428844,0.329061534,-0.001917322,-0.021318191,0.002142813
3_510_-3,3,510,-3,3.5,-0.014370234,0.033587062,0.337685216,-0.00201292,-0.022071816,0.00194309
3_510_-2,3,510,-2,3.5,-0.014229333,0.030953268,0.346197706,-0.002146719,-0.022843542,0.001758639
3_510_-1,3,510,-1,3.5,-0.014011509,0.027824294,0.353561241,-0.002247843,-0.023488502,0.001539663
3_510_0,3,510,0,3.5,-0.014930555,0.024142785,0.361799188,-0.002409506,-0.024343543,0.001285487
4_510_-5,4,510,-5,3.5,-0.018567736,0.038922368,0.320021677,-0.001909,-0.020541879,0.00225645
4_510_-4,4,510,-4,3.5,-0.018651517,0.036094617,0.328373826,-0.001987634,-0.021234507,0.002075454
4_510_-3,4,510,-3,3.5,-0.01869682,0.033699766,0.338391271,-0.002117231,-0.022095642,0.001912982
4_510_-2,4,510,-2,3.5,-0.018884686,0.030820427,0.347537973,-0.002223359,-0.022865015,0.001718867
4_510_-1,4,510,-1,3.5,-0.019191745,0.027732659,0.35581039,-0.00236226,-0.02365618,0.00151231
4_510_0,4,510,0,3.5,-0.019930373,0.023852373,0.362927565,-0.002457593,-0.02431948,0.001248099
5_510_-5,5,510,-5,3.5,-0.023103253,0.038975382,0.32075993,-0.002005234,-0.020603846,0.002219282
5_510_-4,5,510,-4,3.5,-0.023232819,0.036335274,0.329471305,-0.002097118,-0.021306745,0.00205685
5_510_-3,5,510,-3,3.5,-0.023636193,0.033900076,0.339878735,-0.002243257,-0.022200751,0.00189537
5_510_-2,5,510,-2,3.5,-0.023988393,0.030718034,0.347878529,-0.002310853,-0.022898264,0.001683701
5_510_-1,5,510,-1,3.5,-0.024726208,0.027243351,0.355937243,-0.002467651,-0.023683321,0.001463019
5_510_0,5,510,0,3.5,-0.025873857,0.023324067,0.36403113,-0.002556873,-0.024403639,0.001182224
0_495_-5,0,495,-5,3.5,-0.002075942,0.039239514,0.307376362,-0.001570965,-0.019891418,0.002417496
0_495_-4,0,495,-4,3.5,-0.00230806,0.036871721,0.320390861,-0.001734094,-0.020893041,0.002280157
0_495_-3,0,495,-3,3.5,-0.002140605,0.034072953,0.330027474,-0.001735599,-0.021626863,0.002069294
0_495_-2,0,495,-2,3.5,-0.002681439,0.030380416,0.33912367,-0.001838013,-0.022550481,0.001836567
0_495_-1,0,495,-1,3.5,-0.002807663,0.027878211,0.352010265,-0.002073598,-0.023715374,0.001661834
0_495_0,0,495,0,3.5,-0.003039361,0.02506604,0.354996435,-0.002057724,-0.024045926,0.001437481
1_495_-5,1,495,-5,3.5,-0.006107131,0.039157312,0.310471035,-0.001663647,-0.019987319,0.002361296
1_495_-4,1,495,-4,3.5,-0.006420261,0.036920764,0.32355082,-0.001819717,-0.021002464,0.002233137
1_495_-3,1,495,-3,3.5,-0.00645813,0.033262123,0.330318864,-0.001805394,-0.02154548,0.001988983
1_495_-2,1,495,-2,3.5,-0.006340378,0.029752452,0.337531489,-0.001886664,-0.022240286,0.001767501
1_495_-1,1,495,-1,3.5,-0.006048319,0.027401125,0.347580043,-0.002023476,-0.023257436,0.00158969
1_495_0,1,495,0,3.5,-0.007032759,0.024416961,0.356023491,-0.002149978,-0.024079717,0.001381709
2_495_-5,2,495,-5,3.5,-0.010162305,0.038781133,0.312653376,-0.001754345,-0.020052209,0.002304868
2_495_-4,2,495,-4,3.5,-0.010416508,0.036274646,0.32386258,-0.001871375,-0.020934154,0.002145141
2_495_-3,2,495,-3,3.5,-0.010270689,0.033056206,0.332062233,-0.001914553,-0.021540394,0.001931002
2_495_-2,2,495,-2,3.5,-0.009772793,0.030424528,0.339990124,-0.002071539,-0.022303262,0.001760657
2_495_-1,2,495,-1,3.5,-0.009491682,0.027020952,0.344465881,-0.002098492,-0.022765589,0.001565758
2_495_0,2,495,0,3.5,-0.01088619,0.023885749,0.354873401,-0.002272086,-0.023863292,0.001349169
3_495_-5,3,495,-5,3.5,-0.014379363,0.038648023,0.314113366,-0.001843906,-0.020079594,0.002274533
3_495_-4,3,495,-4,3.5,-0.014680322,0.036119195,0.324581395,-0.001948364,-0.020927048,0.002118787
3_495_-3,3,495,-3,3.5,-0.014668775,0.033183461,0.332499092,-0.002038557,-0.021624707,0.001919088
3_495_-2,3,495,-2,3.5,-0.014553087,0.030339694,0.340066913,-0.002160534,-0.022313531,0.001732497
3_495_-1,3,495,-1,3.5,-0.014345114,0.027013462,0.346658178,-0.002258537,-0.022888791,0.001514133
3_495_0,3,495,0,3.5,-0.015317297,0.023269927,0.354331388,-0.002420126,-0.023679264,0.001262
4_495_-5,4,495,-5,3.5,-0.018782814,0.038641955,0.315872447,-0.001937169,-0.020177555,0.00223239
4_495_-4,4,495,-4,3.5,-0.018857081,0.035776145,0.323846475,-0.00201423,-0.020829956,0.002051517
4_495_-3,4,495,-3,3.5,-0.018928358,0.033238636,0.333065863,-0.002137613,-0.021627029,0.001886182
4_495_-2,4,495,-2,3.5,-0.019115664,0.03012102,0.341110285,-0.002235773,-0.022311612,0.001688716
4_495_-1,4,495,-1,3.5,-0.019449281,0.026885691,0.348512134,-0.00237616,-0.023030077,0.001482197
4_495_0,4,495,0,3.5,-0.020257436,0.022926527,0.355184327,-0.002472357,-0.023625215,0.001218673
5_495_-5,5,495,-5,3.5,-0.023250473,0.038654054,0.316441896,-0.002029368,-0.020222727,0.002194401
5_495_-4,5,495,-4,3.5,-0.02339055,0.035946481,0.324742958,-0.002118695,-0.020886741,0.002031019
5_495_-3,5,495,-3,3.5,-0.023788155,0.033343655,0.334287214,-0.002257177,-0.021708555,0.001868552
5_495_-2,5,495,-2,3.5,-0.024112168,0.029902994,0.341129144,-0.002322152,-0.022319407,0.00165449
5_495_-1,5,495,-1,3.5,-0.024891027,0.026386951,0.348727129,-0.002479963,-0.02305319,0.001435865
5_495_0,5,495,0,3.5,-0.026089535,0.022520674,0.356659507,-0.002557519,-0.023729959,0.001160303
0_480_-5,0,480,-5,3.5,-0.002429742,0.038930379,0.30362377,-0.001615024,-0.019548818,0.00239163
0_480_-4,0,480,-4,3.5,-0.002643597,0.036786316,0.31632882,-0.001777834,-0.020541986,0.002262201
0_480_-3,0,480,-3,3.5,-0.002542228,0.033798028,0.325186609,-0.001773177,-0.02120637,0.002047847
0_480_-2,0,480,-2,3.5,-0.003148407,0.029888956,0.333282623,-0.001862976,-0.022052789,0.001811869
0_480_-1,0,480,-1,3.5,-0.003294803,0.027117883,0.345607779,-0.002088646,-0.023140644,0.001632288
0_480_0,0,480,0,3.5,-0.003520993,0.024273543,0.348176437,-0.002070145,-0.023430127,0.001412622
1_480_-5,1,480,-5,3.5,-0.006443827,0.038937111,0.306791892,-0.00170154,-0.019645058,0.002341339
1_480_-4,1,480,-4,3.5,-0.006761775,0.036858706,0.319377222,-0.001849756,-0.020636809,0.00221385
1_480_-3,1,480,-3,3.5,-0.006861588,0.032945773,0.325092782,-0.00183364,-0.021112446,0.001965326
1_480_-2,1,480,-2,3.5,-0.006757908,0.029122061,0.331417266,-0.001911882,-0.021720117,0.001738984
1_480_-1,1,480,-1,3.5,-0.006485495,0.026553519,0.340697617,-0.002050011,-0.022658133,0.001559286
1_480_0,1,480,0,3.5,-0.007480943,0.023574235,0.348819026,-0.002163663,-0.023438231,0.001354561
2_480_-5,2,480,-5,3.5,-0.010452394,0.038527231,0.308545239,-0.001791502,-0.019694349,0.002280996
2_480_-4,2,480,-4,3.5,-0.010725993,0.035909119,0.319098633,-0.001903162,-0.020524254,0.002116951
2_480_-3,2,480,-3,3.5,-0.010599719,0.032627356,0.32656809,-0.001942354,-0.021078995,0.001902486
2_480_-2,2,480,-2,3.5,-0.010150328,0.029738681,0.333687829,-0.00209092,-0.0217654,0.001728595
2_480_-1,2,480,-1,3.5,-0.009955863,0.026146095,0.337710322,-0.00211947,-0.022178799,0.001533064
2_480_0,2,480,0,3.5,-0.011281781,0.022962658,0.347501819,-0.002282398,-0.023198492,0.001320095
