Case,Cone Angle,Omega,Pitch Angle,v_z,Average Fpx,Average Fpy,Average Fpz,Average Mpx,Average Mpy,Average Mpz
10_240_10,10,240,10,2.5,0.035670639,-0.025108391,0.200875406,-0.002062958,0.017002792,0.002590623
0_120_-10,0,120,-10,5,0.002702427,0.03620762,0.2121345,-0.002068772,0.01396544,-0.002375177
5_120_-10,5,120,-10,5,0.02273948,0.03953781,0.2139388,-0.002397407,0.01347752,-0.002247072
0_120_-5,0,120,-5,5,0.002635282,0.01755551,0.2177391,-0.002260157,0.01448519,-0.001172431
5_120_-5,5,120,-5,5,0.0228033,0.02031849,0.2185181,-0.002487361,0.01393989,-0.001072156
0_120_10,0,120,10,5,0.002355876,-0.040983685,0.218665013,-0.002830024,0.01494551,0.002759958
20_120_5,20,120,5,5,0.08695576,-0.02311359,0.2189807,-0.002454452,0.01291853,0.001922124
10_120_-10,10,120,-10,5,0.04489162,0.04117059,0.2191097,-0.002671245,0.01298007,-0.00193013
5_120_10,5,120,10,5,0.022361867,-0.040228577,0.219446294,-0.002702776,0.014494505,0.002845239
0_120_0,0,120,0,5,0.002558654,-0.001752143,0.2195786,-0.0024661,0.01482783,4.96E-05
20_120_0,20,120,0,5,0.08880889,-0.002798784,0.2199879,-0.002689336,0.01239561,0.000794697
20_120_-10,20,120,-10,5,0.09092144,0.04396139,0.220146,-0.00300093,0.01183136,-0.001306312
20_120_10,20,120,10,5,0.086795145,-0.044134811,0.220670969,-0.00220024,0.013305729,0.003123094
0_120_5,0,120,5,5,0.002388256,-0.02131646,0.2207763,-0.002645468,0.01493529,0.001413477
5_120_5,5,120,5,5,0.0225364,-0.01968346,0.2211001,-0.002639909,0.01445674,0.001494039
5_120_0,5,120,0,5,0.0227563,0.000169433,0.2213259,-0.002563415,0.01429092,0.000184015
10_120_10,10,120,10,5,0.043192497,-0.04138421,0.221725913,-0.002519743,0.014195412,0.003005942
10_120_-5,10,120,-5,5,0.04455213,0.02050545,0.2221804,-0.002665281,0.01347991,-0.000823849
20_120_-5,20,120,-5,5,0.09180277,0.02060651,0.2227998,-0.002856729,0.01193412,-0.000290521
10_120_5,10,120,5,5,0.04364511,-0.02045851,0.2230438,-0.002576537,0.01412605,0.001677645
10_120_0,10,120,0,5,0.04388396,-8.96E-05,0.2230786,-0.002608594,0.01389512,0.000405456
0_240_-10,0,240,-10,5,0.003527203,0.05268151,0.2890758,-0.002198137,0.02020909,-0.003666271
5_240_-10,5,240,-10,5,0.03050433,0.05818105,0.296123,-0.002757024,0.02016888,-0.003731736
10_240_-10,10,240,-10,5,0.05951348,0.05918335,0.2995512,-0.003174482,0.0196352,-0.003424254
20_240_-10,20,240,-10,5,0.1222971,0.06393394,0.3038264,-0.004045215,0.0191303,-0.002690796
0_240_-5,0,240,-5,5,0.003736449,0.02844291,0.3051137,-0.002509777,0.02170077,-0.002006736
5_240_-5,5,240,-5,5,0.03187945,0.03413729,0.3131007,-0.002965178,0.02173284,-0.002105412
0_240_0,0,240,0,5,0.00428148,0.002478629,0.3167914,-0.002847131,0.02296391,-0.000281896
20_240_-5,20,240,-5,5,0.1280339,0.03559304,0.3201742,-0.003921955,0.02059862,-0.001247097
10_240_-5,10,240,-5,5,0.06299981,0.0348823,0.3202987,-0.003319363,0.02149082,-0.001847797
5_240_0,5,240,0,5,0.03302284,0.005586104,0.3243063,-0.003061268,0.02278735,-0.000146442
0_240_5,0,240,5,5,0.003638028,-0.02633166,0.326015,-0.003179851,0.0237412,0.001900873
10_240_0,10,240,0,5,0.06474429,0.005537371,0.3307291,-0.003253994,0.02265961,7.59E-05
20_240_0,20,240,0,5,0.1314165,0.003489745,0.3327902,-0.003647085,0.02201478,0.000520176
5_240_5,5,240,5,5,0.0338256,-0.02344429,0.333103,-0.003251985,0.02369807,0.001940277
0_240_10,0,240,10,5,0.00407988,-0.057055522,0.333660165,-0.00355996,0.024560916,0.004218861
10_240_5,10,240,5,5,0.06648098,-0.02462239,0.3418822,-0.003301111,0.02380143,0.002157794
20_240_5,20,240,5,5,0.1331768,-0.02720736,0.3421616,-0.003321132,0.02345349,0.002449813
5_240_10,5,240,10,5,0.03515842,-0.056391887,0.343453369,-0.003447301,0.024649366,0.004328131
10_240_10,10,240,10,5,0.068230247,-0.058241874,0.353361079,-0.0032936,0.02488481,0.004557434
20_240_10,20,240,10,5,0.135396838,-0.060146143,0.353515103,-0.002826275,0.025036382,0.004753063
0_360_-10,0,360,-10,5,0.00113957,0.07310779,0.375545,-0.002149026,0.02930965,-0.005721073
5_360_-10,5,360,-10,5,0.0384168,0.08115183,0.3861553,-0.00280066,0.02932577,-0.006379592
20_360_-10,20,360,-10,5,0.1496912,0.09000035,0.3882333,-0.005209354,0.02886862,-0.005237847
10_360_-10,10,360,-10,5,0.07164565,0.0871753,0.3882974,-0.00367624,0.029781,-0.006310723
0_360_-5,0,360,-5,5,0.001928659,0.04417571,0.4173615,-0.00279673,0.03283082,-0.003299428
20_360_-5,20,360,-5,5,0.1645712,0.06030549,0.4270155,-0.005108098,0.03230078,-0.003279929
5_360_-5,5,360,-5,5,0.03940178,0.05888822,0.4271452,-0.003414595,0.03358476,-0.004427665
10_360_-5,10,360,-5,5,0.07957586,0.05766751,0.4331901,-0.00408157,0.03345575,-0.003995533
0_360_0,0,360,0,5,0.003233643,0.01181556,0.4382963,-0.003103876,0.03491498,-0.001086213
