Case,Cone_Angle,Omega_RPM,Pitch_Angle,Iterations,Avg_Fpx,Avg_Fpy,Avg_Fpz,Avg_Mpx,Avg_Mpy,Avg_Mpz,Vz_ms,Cd,Cd(f),Cd(r),Cl,Cl(f),Cl(r),CmPitch,CmRoll,CmYaw,Cs,Cs(f)
5_120_-3,5,120,-3,2000,-0.007506341,0.004043439,0.060646567,-0.000626955,-0.002827748,0.00012766,2,0.8589197,0.7799105,-0.2004509,0.9105899,-1.111041,1.010815,0.03950458,-0.2230459,-0.1074966,-0.2767942,0.1692976
5_120_-3,5,120,-3,2000,-0.002120511,0.002247796,0.024173777,-0.000186168,-0.001498919,0.000128468,1,1.468262,1.163009,-0.2069897,2.05371,-2.2607,2.157205,0.1526263,-0.2615015,-0.2225531,-0.3727781,0.150225
5_120_-3,5,120,-3,2000,-0.013733491,0.005541828,0.111048348,-0.001253575,-0.005089797,0.000123583,3,0.6828691,0.6483971,-0.1657165,0.7243459,-0.8900624,0.8072041,0.01723597,-0.1984637,-0.06648085,-0.2317041,0.1652233
5_120.0_-3,5,120,-3,2000,-0.005031261,0.003755672,0.042737406,-0.000402713,-0.002150028,0.000126543,1.5,1.096344,0.9609748,-0.2322947,1.252947,-1.485242,1.369095,0.06768453,-0.2541339,-0.1765329,-0.3424004,0.1658675
5_125.0_-3,5,125,-3,2000,-0.003780588,0.003397324,0.03600106,-0.000300954,-0.002047571,0.000167952,1.25,1.386159,1.114375,-0.2444264,1.758477,-2.002904,1.88069,0.1358923,-0.2725698,-0.2267893,-0.3859645,0.1591752
5_135_-3,5,135,-3,2000,-0.002040195,0.002548555,0.026090586,-0.000178765,-0.001674111,0.000142901,1,1.589258,1.251408,-0.1955965,2.311902,-2.507498,2.4097,0.1689253,-0.2503826,-0.2538113,-0.3772882,0.1234769
5_135.0_-3,5,135,-3,2000,-0.009501935,0.0051148,0.076825154,-0.000794522,-0.003582401,0.000160476,2.25,0.8594786,0.7803013,-0.2006072,0.9111827,-1.11179,1.011486,0.03958863,-0.2233318,-0.1075376,-0.2771007,0.169563
5_140.0_-3,5,140,-3,2000,-0.006841307,0.00509084,0.058297198,-0.000549972,-0.002931628,0.00017197,1.75,1.098874,0.9616589,-0.2328347,1.254309,-1.487143,1.370726,0.06860755,-0.2550221,-0.1761109,-0.3430776,0.1669667
5_150.0_-3,5,150,-3,2000,-0.005427847,0.004879419,0.05203812,-0.000435334,-0.002959968,0.000242392,1.5,1.391755,1.115968,-0.2453203,1.763713,-2.009033,1.886373,0.1378937,-0.2739195,-0.2269503,-0.3873946,0.1604443
5_150_-3,5,150,-3,2000,-0.002024049,0.002695805,0.027721326,-0.000173896,-0.00181767,0.000149744,1,1.68141,1.337319,-0.1931589,2.520589,-2.713748,2.617168,0.1720455,-0.2425637,-0.2665326,-0.37583,0.1092974
5_150.0_-3,5,150,-3,2000,-0.011731248,0.006312445,0.094910635,-0.000981934,-0.00442624,0.000197048,2.5,0.8598969,0.7805569,-0.2007126,0.9116566,-1.112369,1.012013,0.03967004,-0.2235657,-0.107579,-0.2773552,0.1697762
