Case,Cone_Angle,Omega_RPM,Pitch_Angle,Vz_ms,Avg_Fpx,Avg_Fpy,Avg_Fpz,Avg_Mpx,Avg_Mpy,Avg_Mpz,Cd,Cl,CmPitch,CmRoll,CmYaw,Cs
# Case,nve Cone,Omega_RPM,Pitch_Angle,Vz_ms,Avg_Fpx,Avg_Fpy,Avg_Fpz,Avg_Mpx,Avg_Mpy,Avg_Mpz,Cd,Cl,CmPitch,CmRoll,CmYaw,Cs
11_225_-3,11,225,-3,1,-0.004935356,0.00222218,0.03265807,-0.000218143,-0.002329709,0.000116116,3.56384,-0.5181607,3.363939,0.0746313,-0.2894472,-0.1796453
11_195_-3,11,195,-3,1,-0.005072322,0.002717745,0.032648338,-0.000218216,-0.002233073,0.000131309,3.563171,-0.5270346,3.222417,0.1193948,-0.2948561,-0.248439
9_175_-1,9,175,-1,1,-0.004159121,0.00210538,0.032629354,-0.000225835,-0.002228658,9.13E-05,3.553958,-0.4242658,3.207,0.07015158,-0.3084714,-0.1887335
7_150_3,7,150,3,1,-0.003563035,0.000426543,0.032596985,-0.000250845,-0.002196766,-1.46E-05,3.541079,-0.3508786,3.148453,-0.06611131,-0.3461091,-0.0169421
9_300_-5,9,300,-5,1,-0.003780439,0.002365059,0.032517355,-0.000210032,-0.002272357,0.000101524,3.558249,-0.4124262,3.303271,-0.01679318,-0.2691903,-0.1497442
5_180_3,-5,180,3,1,0.003128677,0.000165791,0.032513136,-0.000122959,-0.002322429,-2.26E-05,3.509914,0.3668978,3.308964,-0.08633165,-0.1731543,0.008413783
1_175_0,1,175,0,1,-0.000417517,0.001932513,0.032509026,-0.000162865,-0.002263198,0.000101213,3.525846,-0.009896631,3.241681,0.08222015,-0.2255307,-0.1696508
1_225_-1,1,225,-1,1,-7.91E-05,0.00193005,0.032503916,-0.000102724,-0.002382426,0.000101894,3.530678,0.01978683,3.419874,0.04640956,-0.1389263,-0.1473619
11_285_-5,11,285,-5,1,-0.004872497,0.002448586,0.032497539,-0.000235288,-0.00228302,0.000111204,3.554765,-0.528128,3.315815,0.0110383,-0.3018718,-0.16604
7_175_-1,7,175,-1,1,-0.003131416,0.002096055,0.03249749,-0.000207514,-0.002210196,0.000102935,3.537557,-0.3113625,3.179065,0.08642356,-0.284449,-0.1877933
1_180_0,-1,180,0,1,0.000506072,0.002058181,0.032476641,-0.00013585,-0.002277829,0.000107214,3.51704,0.09096483,3.257175,0.08786585,-0.1880455,-0.182925
9_195_-3,9,195,-3,1,-0.00398402,0.002705593,0.032429322,-0.000199194,-0.002206546,0.000141186,3.538167,-0.4082133,3.18359,0.1331329,-0.2702964,-0.2476934
5_175_-1,5,175,-1,1,-0.002166213,0.002158614,0.032391525,-0.000195477,-0.002203847,0.000112358,3.523104,-0.2057178,3.167717,0.09997254,-0.2695062,-0.1961239
3_210_-1,3,210,-1,1,-0.000943507,0.00184569,0.032378537,-0.000142683,-0.0023298,0.000106393,3.520872,-0.07559715,3.34876,0.06421644,-0.1936762,-0.1450271
10_210_5,-10,210,5,1,0.006525234,-0.000903372,0.03237225,-3.35E-05,-0.002477609,-0.000127525,3.488047,0.7278261,3.522824,-0.2491474,-0.05157029,0.1265277
5_150_3,5,150,3,1,-0.002563905,0.00050525,0.032342191,-0.000236843,-0.00219621,-4.31E-06,3.509761,-0.2411521,3.144525,-0.05282732,-0.3273145,-0.02542395
5_255_-3,5,255,-3,1,-0.001755562,0.00219689,0.03231154,-0.000144343,-0.002316782,0.000115801,3.524388,-0.1757528,3.346111,0.04942554,-0.191864,-0.164694
