Case,Cone_Angle,Omega_RPM,Pitch_Angle,Vz_ms,Iterations,Avg_Fpx,Avg_Fpy,Avg_Fpz,Avg_Mpx,Avg_Mpy,Avg_Mpz,Cd,Cd(f),Cd(r),Cl,Cl(f),Cl(r),CmPitch,CmRoll,CmYaw,Cs,Cs(f),Cs(r)
9_425_-2,9,4.250000e+02,-2,4.000000e+00,2000,-7.544899e-02,4.262120e-02,4.029115e-01,-3.314836e-03,-2.436714e-02,2.101852e-03,2.725298e+00,1.534743e+00,1.190555e+00,-4.851523e-01,1.930976e+00,-2.416128e+00,2.173552e+00,1.720943e-01,-2.911925e-01,-2.822476e-01,-4.323163e-01,1.500687e-01
9_425_-1,9,4.250000e+02,-1,4.000000e+00,2000,-7.630549e-02,3.671706e-02,4.106431e-01,-3.423058e-03,-2.495655e-02,1.752300e-03,2.777423e+00,1.529947e+00,1.247476e+00,-4.902923e-01,1.980535e+00,-2.470827e+00,2.225681e+00,1.412353e-01,-3.009112e-01,-2.428182e-01,-4.223203e-01,1.795021e-01
9_425_0,9,4.250000e+02,0,4.000000e+00,2000,-7.697218e-02,3.060150e-02,4.176608e-01,-3.532395e-03,-2.546734e-02,1.404757e-03,2.824810e+00,1.522983e+00,1.301827e+00,-4.942018e-01,2.023886e+00,-2.518087e+00,2.270987e+00,1.105782e-01,-3.107146e-01,-2.017209e-01,-4.115751e-01,2.098542e-01
9_450_-2,9,4.500000e+02,-2,4.000000e+00,2000,-7.331957e-02,4.273588e-02,3.997532e-01,-3.279234e-03,-2.488677e-02,2.239473e-03,2.704736e+00,1.533481e+00,1.171256e+00,-4.703398e-01,1.985507e+00,-2.455847e+00,2.220677e+00,1.811126e-01,-2.872429e-01,-2.795639e-01,-4.270248e-01,1.474609e-01
9_450_-1,9,4.500000e+02,-1,4.000000e+00,2000,-7.537236e-02,3.793387e-02,4.130513e-01,-3.429732e-03,-2.585877e-02,1.917280e-03,2.794334e+00,1.549857e+00,1.244477e+00,-4.830262e-01,2.065253e+00,-2.548279e+00,2.306766e+00,1.526896e-01,-3.007015e-01,-2.478674e-01,-4.246352e-01,1.767678e-01
9_450_0,9,4.500000e+02,0,4.000000e+00,2000,-7.667566e-02,3.221081e-02,4.233260e-01,-3.559603e-03,-2.657446e-02,1.572504e-03,2.863618e+00,1.554258e+00,1.309360e+00,-4.911148e-01,2.124727e+00,-2.615842e+00,2.370284e+00,1.224486e-01,-3.123488e-01,-2.096639e-01,-4.171807e-01,2.075169e-01
9_475_-2,9,4.750000e+02,-2,4.000000e+00,2000,-7.278516e-02,4.419771e-02,4.065673e-01,-3.193658e-03,-2.584562e-02,2.433121e-03,2.751186e+00,1.572222e+00,1.178965e+00,-4.666142e-01,2.073575e+00,-2.540189e+00,2.306882e+00,1.966283e-01,-2.791178e-01,-2.876251e-01,-4.229304e-01,1.353053e-01
9_475_-1,9,4.750000e+02,-1,4.000000e+00,2000,-7.424352e-02,3.885891e-02,4.158428e-01,-3.355721e-03,-2.657203e-02,2.066951e-03,2.813771e+00,1.570641e+00,1.243130e+00,-4.752367e-01,2.133447e+00,-2.608684e+00,2.371065e+00,1.637550e-01,-2.935310e-01,-2.519316e-01,-4.194968e-01,1.675653e-01
9_475_0,9,4.750000e+02,0,4.000000e+00,2000,-7.548240e-02,3.346512e-02,4.255706e-01,-3.521846e-03,-2.729832e-02,1.714251e-03,2.879430e+00,1.572043e+00,1.307386e+00,-4.825210e-01,2.194189e+00,-2.676710e+00,2.435450e+00,1.323286e-01,-3.083161e-01,-2.156267e-01,-4.161294e-01,2.005027e-01
9_500_-2,9,5.000000e+02,-2,4.000000e+00,2000,-7.230152e-02,4.624045e-02,4.146464e-01,-3.256861e-03,-2.693630e-02,2.596680e-03,2.806354e+00,1.611872e+00,1.194483e+00,-4.621777e-01,2.173616e+00,-2.635794e+00,2.404705e+00,2.086945e-01,-2.841052e-01,-2.990651e-01,-4.336377e-01,1.345726e-01
9_500_-1,9,5.000000e+02,-1,4.000000e+00,2000,-7.403815e-02,4.097454e-02,4.240361e-01,-3.391665e-03,-2.765331e-02,2.210187e-03,2.869574e+00,1.608995e+00,1.260579e+00,-4.730087e-01,2.231524e+00,-2.704533e+00,2.468029e+00,1.742081e-01,-2.961433e-01,-2.644066e-01,-4.283466e-01,1.639400e-01
