# Case,Average Fx,Average Fy,Average Fz,Average Mx,Average My,Average Mz
# Case,Cone Angle,Omega,Pitch Angle,Average Fx,Average Fy,Average Fz,Average Mx,Average My,Average Mz
10_240_-10,10,240,-10,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
0_300_0,0,300,0,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
10_300_5,10,300,5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
5_360_5,5,360,5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
0_300_-5,0,300,-5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
10_180_-10,10,180,-10,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
5_420_0,5,420,0,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
5_180_0,5,180,0,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
0_180_-10,0,180,-10,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
5_300_5,5,300,5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
0_420_-5,0,420,-5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
10_180_-5,10,180,-5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
10_420_0,10,420,0,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
0_420_5,0,420,5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
10_360_0,10,360,0,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
5_240_5,5,240,5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
10_300_-5,10,300,-5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
0_360_-10,0,360,-10,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
10_420_5,10,420,5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
5_360_-10,5,360,-10,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
5_420_-5,5,420,-5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
10_240_5,10,240,5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
0_180_5,0,180,5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
0_240_5,0,240,5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
10_180_0,10,180,0,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
0_420_-10,0,420,-10,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
10_300_-10,10,300,-10,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
5_300_0,5,300,0,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
10_360_-10,10,360,-10,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
10_420_-5,10,420,-5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
5_180_-5,5,180,-5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
0_420_0,0,420,0,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
5_420_5,5,420,5,0.03438374949999999,0.011230627484000002,0.1836438484599999,-0.004198002504599999,0.014483206016200002,-0.000382253682
