Case,Cone Angle,Omega,Pitch Angle,vz,Average Fx,Average Fy,Average Fz,Average Mx,Average My,Average Mz
0_240_10,0,240,10,3,-0.006841335,-0.024661749,0.182624198,-0.001893211,-0.009859967,-0.001439273
5_480_10,5,480,10,3,-0.024433656,-0.033758434,0.359884612,-0.00237168,-0.025356405,-0.002994023
5_600_0,5,600,0,3,-0.017295883,0.014565492,0.321655131,-0.001766072,-0.022810258,0.000488048
10_240_10,10,240,10,3,-0.037119729,-0.02359344,0.185670688,-0.001860004,-0.009789688,-0.001779976
10_600_-5,10,600,-5,3,-0.034344506,0.024045256,0.262337053,-0.001845251,-0.017891259,0.001287082
5_570_-5,5,570,-5,3,-0.014084939,0.023726015,0.25012862,-0.001314361,-0.016838841,0.001406051
10_630_10,10,630,10,3,-0.061752118,-0.045211872,0.462509147,-0.002737194,-0.03460239,-0.004862827
5_360_-5,5,360,-5,3,-0.016858708,0.024498464,0.213386416,-0.001674174,-0.013119958,0.001329671
0_240_-5,0,240,-5,3,-0.005743935,0.019227359,0.167479032,-0.001399811,-0.008828809,0.000992705
0_240_0,0,240,0,3,-0.007161547,0.006522317,0.178346843,-0.001599901,-0.009394793,0.000324293
10_630_5,10,630,5,3,-0.054317641,-0.011659899,0.40481915,-0.002567457,-0.029729736,-0.001974482
10_240_0,10,240,0,3,-0.03434798,0.00757715,0.178916513,-0.001824088,-0.009089589,-0.000118332
0_330_0,0,330,0,3,-0.003494115,0.012037715,0.222317025,-0.001595701,-0.013972989,0.000708397
10_180_5,10,180,5,3,-0.031116557,-0.009050328,0.142809521,-0.001576299,-0.006747612,-0.000824706
5_300_-5,5,300,-5,3,-0.019712336,0.023782725,0.19999422,-0.001707806,-0.011352868,0.001145557
10_360_5,10,360,5,3,-0.042892015,-0.005320749,0.27114317,-0.002267396,-0.017271192,-0.000820046
0_360_0,0,360,0,3,-0.002559521,0.013769673,0.235420588,-0.00156626,-0.015246828,0.000786253
5_270_5,5,270,5,3,-0.022412018,-0.00706836,0.213563134,-0.001959858,-0.011812897,-0.000632015
10_480_5,10,480,5,3,-0.047653447,-0.006579325,0.332885733,-0.002429201,-0.022939594,-0.001138028
5_360_0,5,360,0,3,-0.019630609,0.012442166,0.239185029,-0.001921738,-0.015082238,0.000587402
5_630_10,5,630,10,3,-0.025253549,-0.043928384,0.447670106,-0.002545904,-0.033581628,-0.004501113
10_240_-5,10,240,-5,3,-0.032099495,0.021400561,0.170200684,-0.001717016,-0.008476952,0.000548357
5_330_5,5,330,5,3,-0.022610019,-0.005561879,0.249856098,-0.002064647,-0.015467174,-0.000583383
10_660_0,10,660,0,3,-0.043380225,0.009001081,0.335948106,-0.002176525,-0.024627004,1.48E-05
